frequency,attack-angle,chord-length,free-stream-velocity,suction-side-displacement-thickness,scaled-sound-pressure,frequency_standardized,attack-angle_standardized,chord-length_standardized,free-stream-velocity_standardized,suction-side-displacement-thickness_standardized,target_standardized
2500,17.4,0.0254,39.6,0.0172206,124.154,-0.13997205803341134,1.8346946967582602,-1.207457809164193,-0.751624028451298,0.47822219664756654,-0.10638131362016437
2500,6.7,0.1016,71.3,0.00478288,131.458,-0.13997205803341134,0.007693388827327192,-0.3945873215954658,1.2812928680438007,-0.4757791277952415,0.9511774257725308
4000,0.0,0.1016,39.6,0.00146332,127.801,0.31759321288290265,-1.1363167759518555,-0.3945873215954658,-0.751624028451298,-0.7303969063404545,0.42167409746488005
630,2.7,0.1524,39.6,0.00294804,125.809,-0.7104034291090828,-0.6752977543244236,0.1473263367836859,-0.751624028451298,-0.6165155159870196,0.13324898672141713
16000,0.0,0.2286,71.3,0.00214345,114.984,3.978115380213415,-1.1363167759518555,0.960196824352413,1.2812928680438007,-0.6782293932598187,-1.4341214067514643
630,15.4,0.0508,39.6,0.0282593,127.443,-0.7104034291090828,1.4931991251823855,-0.9365009799746172,-0.751624028451298,1.3249155150473075,0.36983866089552225
4000,12.3,0.1016,55.5,0.0368233,114.404,0.31759321288290265,0.9638809892397785,-0.3945873215954658,0.2680409133238462,1.9817937324801016,-1.518100605662713
400,12.6,0.1524,39.6,0.0584113,115.91,-0.780563437316251,1.0151053249761597,0.1473263367836859,-0.751624028451298,3.637642279647214,-1.300044271937987
5000,0.0,0.1524,39.6,0.00193287,123.453,0.622636726827112,-1.1363167759518555,0.1473263367836859,-0.751624028451298,-0.6943813567146293,-0.20788031092496614
4000,12.3,0.1016,39.6,0.0408268,110.905,0.31759321288290265,0.9638809892397785,-0.3945873215954658,-0.751624028451298,2.2888712597444862,-2.024726841853161
8000,0.0,0.3048,71.3,0.00266337,117.151,1.53776726865974,-1.1363167759518555,1.7730673119211406,1.2812928680438007,-0.6383503504284714,-1.1203577446123663
1000,3.0,0.3048,31.7,0.00529514,126.838,-0.5975373289497253,-0.6240734185880423,1.7730673119211406,-1.2582500058112756,-0.43648762433165866,0.28223966892775326
1250,6.7,0.1016,31.7,0.00592927,129.256,-0.521276450463673,0.007693388827327192,-0.3945873215954658,-1.2582500058112756,-0.38784841554830307,0.6323460533543063
4000,2.0,0.2286,39.6,0.00346574,120.227,0.31759321288290265,-0.7948212043759801,0.960196824352413,-0.751624028451298,-0.5768067521891497,-0.6749784069382236
6300,2.0,0.2286,31.7,0.00372371,115.137,1.019193294954584,-0.7948212043759801,0.960196824352413,-1.2582500058112756,-0.5570198682854671,-1.411968273245565
1600,15.6,0.1016,39.6,0.0528487,114.554,-0.4145112205831998,1.527348682339973,-0.3945873215954658,-0.751624028451298,3.210978247385227,-1.4963818473235961
1250,2.0,0.2286,31.7,0.00372371,128.677,-0.521276450463673,-0.7948212043759801,0.960196824352413,-1.2582500058112756,-0.5570198682854671,0.5485116461653169
8000,5.4,0.1524,55.5,0.00433288,114.927,1.53776726865974,-0.2142787326969918,0.1473263367836859,0.2680409133238462,-0.5102951480947228,-1.4423745349203265
1000,7.2,0.1524,71.3,0.00752039,134.273,-0.5975373289497253,0.09306728172129605,0.1473263367836859,1.2812928680438007,-0.265805903950724,1.35876612393661
2500,22.2,0.0254,71.3,0.0214178,126.097,-0.13997205803341134,2.6542840685403615,-1.207457809164193,1.2812928680438007,0.8001569530941947,0.17494900273251962
800,15.4,0.0508,55.5,0.0271925,130.43,-0.6585460317385673,1.4931991251823855,-0.9365009799746172,0.2680409133238462,1.2430895362573375,0.8023315352884561
6300,15.4,0.0508,55.5,0.0271925,112.93,1.019193294954584,1.4931991251823855,-0.9365009799746172,0.2680409133238462,1.2430895362573375,-1.7315236042750928
500,3.0,0.3048,39.6,0.00495741,127.632,-0.75005908592183,-0.6240734185880423,1.7730673119211406,-0.751624028451298,-0.46239228107775604,0.39720429640280963
315,5.4,0.1524,31.7,0.00525474,125.741,-0.8064921360015088,-0.2142787326969918,0.1473263367836859,-1.2582500058112756,-0.4395863959318788,0.1234031496076848
400,4.0,0.2286,39.6,0.00473801,123.879,-0.780563437316251,-0.4533256328001047,0.960196824352413,-0.751624028451298,-0.47922075853043644,-0.14619903724187605
2000,4.0,0.2286,55.5,0.0042862,124.254,-0.292493815005516,-0.4533256328001047,0.960196824352413,0.2680409133238462,-0.5138756099337889,-0.09190214139408572
800,8.9,0.1016,71.3,0.0103088,137.813,-0.6585460317385673,0.3833385175607902,-0.3945873215954658,1.2812928680438007,-0.051928534698998594,1.8713288207397496
10000,0.0,0.1524,55.5,0.00172668,119.253,2.1478542965481586,-1.1363167759518555,0.1473263367836859,0.2680409133238462,-0.7101965972158516,-0.8160055444202183
4000,9.5,0.0254,31.7,0.00461377,126.736,0.31759321288290265,0.4857871890335528,-1.207457809164193,-1.2582500058112756,-0.48875024822378654,0.26747091325715583
2000,3.0,0.3048,39.6,0.00495741,120.532,-0.292493815005516,-0.6240734185880423,1.7730673119211406,-0.751624028451298,-0.46239228107775604,-0.6308169316486886
500,12.3,0.1016,39.6,0.0408268,122.205,-0.75005908592183,0.9638809892397785,-0.3945873215954658,-0.751624028451298,2.2888712597444862,-0.38858038030641306
1600,17.4,0.0254,39.6,0.0172206,127.614,-0.4145112205831998,1.8346946967582602,-1.207457809164193,-0.751624028451298,0.47822219664756654,0.39459804540211557
6300,3.3,0.1016,71.3,0.00202822,124.904,1.019193294954584,-0.5728490828516611,-0.3945873215954658,1.2812928680438007,-0.6870677955245058,0.0022124780754162964
4000,7.3,0.2286,39.6,0.0123481,114.079,0.31759321288290265,0.11014206030008976,0.960196824352413,-0.751624028451298,0.10449039907151718,-1.565157915397465
16000,0.0,0.0254,31.7,0.000439472,125.627,3.978115380213415,-1.1363167759518555,-1.207457809164193,-1.2582500058112756,-0.8089283693439729,0.10689689326995591
6300,9.9,0.1524,55.5,0.0208438,110.555,1.019193294954584,0.5540863033487279,0.1473263367836859,0.2680409133238462,0.7561298516455229,-2.0754039446444317
2500,0.0,0.1016,71.3,0.00121072,132.595,-0.13997205803341134,-1.1363167759518555,-0.3945873215954658,1.2812928680438007,-0.7497718990685633,1.1158056139830312
1250,9.9,0.1524,39.6,0.0233328,120.555,-0.521276450463673,0.5540863033487279,0.1473263367836859,-0.751624028451298,0.9470417950353204,-0.6274867220366893
400,4.0,0.3048,71.3,0.00497773,129.575,-0.780563437316251,-0.4533256328001047,1.7730673119211406,1.2812928680438007,-0.46083369100556615,0.6785346127554915
